threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.38,0.35571598393815174,0.8763612605894485,0.4916467780429594,0.30930930930930933,0.3797235023041475,21243,213,460,206
0.39,0.35571598393815174,0.8763612605894485,0.49282296650717705,0.30930930930930933,0.3800738007380074,21244,212,460,206
0.4,0.35571598393815174,0.8763612605894485,0.5376044568245125,0.2897897897897898,0.37658536585365854,21290,166,473,193
0.41,0.35571598393815174,0.8763612605894485,0.5376044568245125,0.2897897897897898,0.37658536585365854,21290,166,473,193
0.42,0.35571598393815174,0.8763612605894485,0.5376044568245125,0.2897897897897898,0.37658536585365854,21290,166,473,193
0.43,0.35571598393815174,0.8763612605894485,0.5376044568245125,0.2897897897897898,0.37658536585365854,21290,166,473,193
0.44,0.35571598393815174,0.8763612605894485,0.5376044568245125,0.2897897897897898,0.37658536585365854,21290,166,473,193
0.45,0.35571598393815174,0.8763612605894485,0.5391061452513967,0.2897897897897898,0.376953125,21291,165,473,193
0.46,0.35571598393815174,0.8763612605894485,0.5391061452513967,0.2897897897897898,0.376953125,21291,165,473,193
0.47,0.35571598393815174,0.8763612605894485,0.5391061452513967,0.2897897897897898,0.376953125,21291,165,473,193
0.48,0.35571598393815174,0.8763612605894485,0.5391061452513967,0.2897897897897898,0.376953125,21291,165,473,193
0.49,0.35571598393815174,0.8763612605894485,0.5391061452513967,0.2897897897897898,0.376953125,21291,165,473,193
0.5,0.35571598393815174,0.8763612605894485,0.5406162464985994,0.2897897897897898,0.37732160312805474,21292,164,473,193
0.51,0.35571598393815174,0.8763612605894485,0.543661971830986,0.2897897897897898,0.3780607247796278,21294,162,473,193
0.52,0.35571598393815174,0.8763612605894485,0.5451977401129944,0.2897897897897898,0.3784313725490196,21295,161,473,193
0.53,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
0.54,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
0.55,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
0.56,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
0.57,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
0.58,0.35571598393815174,0.8763612605894485,0.7397959183673469,0.21771771771771772,0.33642691415313225,21405,51,521,145
