threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.73,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.74,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.75,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.76,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.77,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.78,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.79,0.35672142465246426,0.867855097807673,0.8320610687022901,0.1634182908545727,0.2731829573934837,21432,22,558,109
0.8,0.35672142465246426,0.867855097807673,0.8384615384615385,0.1634182908545727,0.27352572145545795,21433,21,558,109
0.81,0.35672142465246426,0.867855097807673,1.0,0.01199400299850075,0.023703703703703703,21454,0,659,8
0.82,0.35672142465246426,0.867855097807673,1.0,0.01199400299850075,0.023703703703703703,21454,0,659,8
0.83,0.35672142465246426,0.867855097807673,1.0,0.01199400299850075,0.023703703703703703,21454,0,659,8
0.84,0.35672142465246426,0.867855097807673,1.0,0.01199400299850075,0.023703703703703703,21454,0,659,8
0.85,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.86,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.87,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.88,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.89,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.9,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.91,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.92,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.93,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.94,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
0.95,0.35672142465246426,0.867855097807673,1.0,0.010494752623688156,0.020771513353115726,21454,0,660,7
