threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.34,0.35524763647008467,0.8752961777710938,0.4095394736842105,0.3733133433283358,0.3905882352941176,21095,359,418,249
0.35,0.35524763647008467,0.8752961777710938,0.4095394736842105,0.3733133433283358,0.3905882352941176,21095,359,418,249
0.36,0.35524763647008467,0.8752961777710938,0.4095394736842105,0.3733133433283358,0.3905882352941176,21095,359,418,249
0.37,0.35524763647008467,0.8752961777710938,0.4102141680395387,0.3733133433283358,0.39089481946624804,21096,358,418,249
0.38,0.35524763647008467,0.8752961777710938,0.4916467780429594,0.30884557721139433,0.37937384898710863,21241,213,461,206
0.39,0.35524763647008467,0.8752961777710938,0.49282296650717705,0.30884557721139433,0.3797235023041475,21242,212,461,206
0.4,0.35524763647008467,0.8752961777710938,0.5376044568245125,0.2893553223388306,0.3762183235867446,21288,166,474,193
0.41,0.35524763647008467,0.8752961777710938,0.5376044568245125,0.2893553223388306,0.3762183235867446,21288,166,474,193
0.42,0.35524763647008467,0.8752961777710938,0.5376044568245125,0.2893553223388306,0.3762183235867446,21288,166,474,193
0.43,0.35524763647008467,0.8752961777710938,0.5376044568245125,0.2893553223388306,0.3762183235867446,21288,166,474,193
0.44,0.35524763647008467,0.8752961777710938,0.5376044568245125,0.2893553223388306,0.3762183235867446,21288,166,474,193
0.45,0.35524763647008467,0.8752961777710938,0.5391061452513967,0.2893553223388306,0.37658536585365854,21289,165,474,193
0.46,0.35524763647008467,0.8752961777710938,0.5391061452513967,0.2893553223388306,0.37658536585365854,21289,165,474,193
0.47,0.35524763647008467,0.8752961777710938,0.5391061452513967,0.2893553223388306,0.37658536585365854,21289,165,474,193
0.48,0.35524763647008467,0.8752961777710938,0.5391061452513967,0.2893553223388306,0.37658536585365854,21289,165,474,193
0.49,0.35524763647008467,0.8752961777710938,0.5391061452513967,0.2893553223388306,0.37658536585365854,21289,165,474,193
0.5,0.35524763647008467,0.8752961777710938,0.5406162464985994,0.2893553223388306,0.376953125,21290,164,474,193
0.51,0.35524763647008467,0.8752961777710938,0.543661971830986,0.2893553223388306,0.3776908023483366,21292,162,474,193
0.52,0.35524763647008467,0.8752961777710938,0.5451977401129944,0.2893553223388306,0.3780607247796278,21293,161,474,193
0.53,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.54,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.55,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.56,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.57,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.58,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.59,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.6,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.61,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.62,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.63,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.64,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.65,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.66,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.67,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.68,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.69,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.7,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.71,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.72,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.73,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.74,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.75,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.76,0.35524763647008467,0.8752961777710938,0.7397959183673469,0.21739130434782608,0.33603707995365006,21403,51,522,145
0.77,0.35524763647008467,0.8752961777710938,0.8333333333333334,0.16491754122938532,0.2753441802252816,21432,22,557,110
0.78,0.35524763647008467,0.8752961777710938,0.8294573643410853,0.16041979010494753,0.26884422110552764,21432,22,560,107
0.79,0.35524763647008467,0.8752961777710938,0.8294573643410853,0.16041979010494753,0.26884422110552764,21432,22,560,107
0.8,0.35524763647008467,0.8752961777710938,0.8346456692913385,0.15892053973013492,0.26700251889168763,21433,21,561,106
0.81,0.35524763647008467,0.8752961777710938,0.8387096774193549,0.15592203898050974,0.2629582806573957,21434,20,563,104
0.82,0.35524763647008467,0.8752961777710938,0.8387096774193549,0.15592203898050974,0.2629582806573957,21434,20,563,104
0.83,0.35524763647008467,0.8752961777710938,0.8387096774193549,0.15592203898050974,0.2629582806573957,21434,20,563,104
0.84,0.35524763647008467,0.8752961777710938,0.8387096774193549,0.15592203898050974,0.2629582806573957,21434,20,563,104
0.85,0.35524763647008467,0.8752961777710938,1.0,0.008995502248875561,0.017830609212481426,21454,0,661,6
0.86,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.87,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.88,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.89,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.9,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.91,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.92,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.93,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.94,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
0.95,0.35524763647008467,0.8752961777710938,1.0,0.0074962518740629685,0.01488095238095238,21454,0,662,5
