threshold,pr_auc,roc_auc,precision,recall,f1,tn,fp,fn,tp
0.05,0.3942961608307701,0.882710851204486,0.1575913848020628,0.7225312934631433,0.25874735400323745,37253,5554,399,1039
0.06,0.3942961608307701,0.882710851204486,0.21217105263157895,0.6279554937413073,0.3171759747102213,39454,3353,535,903
0.07,0.3942961608307701,0.882710851204486,0.23471615720524017,0.5980528511821975,0.3371226969815759,40003,2804,578,860
0.08,0.3942961608307701,0.882710851204486,0.23471615720524017,0.5980528511821975,0.3371226969815759,40003,2804,578,860
0.09,0.3942961608307701,0.882710851204486,0.2684069611780455,0.5577190542420027,0.3624039765024853,40621,2186,636,802
0.1,0.3942961608307701,0.882710851204486,0.3067158067158067,0.5208623087621697,0.38608247422680414,41114,1693,689,749
0.11,0.3942961608307701,0.882710851204486,0.3069672131147541,0.5208623087621697,0.3862815884476534,41116,1691,689,749
0.12,0.3942961608307701,0.882710851204486,0.3899188876013905,0.46801112656467314,0.4254108723135272,41754,1053,765,673
0.13,0.3942961608307701,0.882710851204486,0.3899188876013905,0.46801112656467314,0.4254108723135272,41754,1053,765,673
0.14,0.3942961608307701,0.882710851204486,0.3899188876013905,0.46801112656467314,0.4254108723135272,41754,1053,765,673
0.15,0.3942961608307701,0.882710851204486,0.3911525029103609,0.4673157162726008,0.42585551330798477,41761,1046,766,672
0.16,0.3942961608307701,0.882710851204486,0.3911525029103609,0.4673157162726008,0.42585551330798477,41761,1046,766,672
0.17,0.3942961608307701,0.882710851204486,0.3911525029103609,0.4673157162726008,0.42585551330798477,41761,1046,766,672
0.18,0.3942961608307701,0.882710851204486,0.39762611275964393,0.4659248956884562,0.42907460774895934,41792,1015,768,670
0.19,0.3942961608307701,0.882710851204486,0.4170951156812339,0.4513212795549374,0.43353373413493657,41900,907,789,649
0.2,0.3942961608307701,0.882710851204486,0.43519781718963163,0.44367176634214184,0.4393939393939394,41979,828,800,638
0.21,0.3942961608307701,0.882710851204486,0.437414030261348,0.4422809457579972,0.43983402489626555,41989,818,802,636
0.22,0.3942961608307701,0.882710851204486,0.46555639666919,0.42767732962447846,0.44581370061616526,42101,706,823,615
0.23,0.3942961608307701,0.882710851204486,0.46555639666919,0.42767732962447846,0.44581370061616526,42101,706,823,615
0.24,0.3942961608307701,0.882710851204486,0.46555639666919,0.42767732962447846,0.44581370061616526,42101,706,823,615
0.25,0.3942961608307701,0.882710851204486,0.46555639666919,0.42767732962447846,0.44581370061616526,42101,706,823,615
0.26,0.3942961608307701,0.882710851204486,0.46555639666919,0.42767732962447846,0.44581370061616526,42101,706,823,615
0.27,0.3942961608307701,0.882710851204486,0.464339908952959,0.42559109874826145,0.444121915820029,42101,706,826,612
0.28,0.3942961608307701,0.882710851204486,0.5471898197242842,0.3588317107093185,0.43343133137337253,42380,427,922,516
0.29,0.3942961608307701,0.882710851204486,0.5557986870897156,0.3532684283727399,0.43197278911564624,42401,406,930,508
0.3,0.3942961608307701,0.882710851204486,0.5570175438596491,0.3532684283727399,0.4323404255319149,42403,404,930,508
0.31,0.3942961608307701,0.882710851204486,0.5660818713450292,0.33657858136300417,0.4221543829044919,42436,371,954,484
